campaign_id,campaign_type,target_audience,duration_days,channel_used,impressions,clicks,leads,conversions,revenue,acquisition_cost,roi,language,engagement_score
MU-CMP-2000,Social Media,College Students,19,Instagram; YouTube,64320,5890,3210,2140,1724300,118.45,5.87,Hindi,22.14
MU-CMP-2001,Paid Ads,Tier 2 City Customers,22,Google; Facebook,78450,4120,2340,1560,1243800,165.30,4.12,Marathi,9.43
MU-CMP-2002,Influencer,Youth,15,YouTube; Instagram,23450,3180,1420,980,312600,95.20,2.34,English,28.67
MU-CMP-2003,Email,Working Women,20,Email; Facebook,92300,7640,2890,1230,489200,215.80,0.75,Hindi,14.32
MU-CMP-2004,Paid Ads,College Students,12,Instagram; Google,88760,4230,2780,1640,672400,198.75,1.24,Hindi,8.91
MU-CMP-2005,Influencer,Youth,28,WhatsApp; YouTube,76540,8320,2540,1890,1043200,142.60,3.67,Tamil,16.54
MU-CMP-2006,Social Media,Premium Shoppers,24,Instagram; Facebook,54320,6780,4120,2760,1356800,102.40,4.89,English,24.78
MU-CMP-2007,Email,Tier 2 City Customers,16,Email; WhatsApp,41230,3450,1870,1020,387400,178.90,1.56,Hindi,11.23
MU-CMP-2008,Influencer,Premium Shoppers,30,YouTube; Instagram; Facebook,81200,9340,5640,3120,1567200,93.15,4.21,Hindi,26.43
MU-CMP-2009,Paid Ads,Working Women,14,Google; YouTube,67890,4560,2120,1340,534600,245.30,0.92,Kannada,7.65
MU-CMP-2010,Social Media,Youth,18,Instagram; WhatsApp,59870,7230,3450,2230,897600,125.70,3.45,English,19.87
MU-CMP-2011,Email,College Students,25,Email; Instagram,48230,5120,2340,1180,423600,198.40,0.84,Hindi,12.56
MU-CMP-2012,Paid Ads,Premium Shoppers,10,Facebook; Google,94560,5670,3120,2140,1089400,187.60,2.78,Tamil,9.32
MU-CMP-2013,Influencer,Working Women,22,YouTube; WhatsApp,38760,4890,2670,1760,789300,108.90,3.12,Marathi,21.45
MU-CMP-2014,Social Media,Tier 2 City Customers,17,Facebook; YouTube,72340,6120,2890,1980,812400,134.50,2.67,Hindi,17.89
MU-CMP-2015,Email,Premium Shoppers,21,Email; Facebook; WhatsApp,56780,4320,2140,1090,476800,267.40,0.65,English,10.78
MU-CMP-2016,Paid Ads,Youth,13,Instagram; Google; YouTube,85430,5890,3340,2120,934500,172.30,2.14,Hindi,8.43
MU-CMP-2017,Influencer,College Students,26,WhatsApp; YouTube,44560,6780,3890,2540,1123400,98.70,4.56,Tamil,23.67
MU-CMP-2018,Social Media,Working Women,20,Instagram; Facebook,61230,5340,2780,1670,723600,145.80,2.89,Hindi,18.34
MU-CMP-2019,Paid Ads,Tier 2 City Customers,16,Google; WhatsApp,79870,4780,2560,1780,867200,192.40,1.78,Kannada,9.87
MU-CMP-2020,Email,Youth,23,Email; YouTube,43210,3980,1890,1020,398700,234.60,0.71,Hindi,13.45
MU-CMP-2021,Influencer,Premium Shoppers,19,Instagram; Facebook; YouTube,68940,8120,4560,2980,1456700,105.30,4.78,English,25.12
MU-CMP-2022,Social Media,College Students,15,WhatsApp; Instagram,53670,6450,3120,2010,834500,119.80,3.89,Hindi,20.56
MU-CMP-2023,Paid Ads,Working Women,11,Facebook; Instagram,91230,4230,2230,1450,587400,218.70,1.02,Marathi,7.34
MU-CMP-2024,Email,Tier 2 City Customers,27,Email; WhatsApp; Facebook,47890,3780,1760,890,334500,245.90,0.58,Hindi,11.67
MU-CMP-2025,Influencer,Youth,24,YouTube; Instagram,72340,7890,4230,2780,1234500,112.40,3.98,Tamil,22.89
MU-CMP-2026,Social Media,Premium Shoppers,18,Facebook; WhatsApp,58430,5670,3450,2230,1089200,128.60,4.23,English,21.34
MU-CMP-2027,Paid Ads,College Students,20,Google; YouTube; Instagram,86780,5120,2890,1890,823400,176.50,1.89,Hindi,8.78
MU-CMP-2028,Email,Working Women,14,Email; Instagram,39870,4120,1980,1120,456700,212.30,0.89,Kannada,12.34
MU-CMP-2029,Influencer,Tier 2 City Customers,29,WhatsApp; Facebook,65430,7340,4120,2670,1167800,99.80,4.34,Hindi,24.56
MU-CMP-2030,Social Media,Youth,16,Instagram; YouTube,77650,8230,3780,2450,1023400,132.70,3.56,English,19.23
MU-CMP-2031,Paid Ads,Premium Shoppers,23,Google; Facebook,93450,5890,3560,2340,1234600,183.40,2.45,Hindi,9.56
MU-CMP-2032,Email,College Students,19,Email; WhatsApp,45670,3560,1780,920,367800,228.90,0.67,Tamil,11.89
MU-CMP-2033,Influencer,Working Women,21,YouTube; Instagram; WhatsApp,54320,6780,3890,2560,1089300,107.60,3.78,Hindi,23.45
MU-CMP-2034,Social Media,Tier 2 City Customers,13,Facebook; Instagram,68230,5670,2670,1780,734500,138.90,2.78,Marathi,16.78
MU-CMP-2035,Paid Ads,Youth,17,YouTube; Google,81230,4890,2780,1980,912300,167.80,2.23,Hindi,8.12
MU-CMP-2036,Email,Premium Shoppers,22,Email; Facebook; Instagram,52340,4560,2230,1180,512400,258.70,0.72,English,12.67
MU-CMP-2037,Influencer,College Students,25,WhatsApp; YouTube,61230,7120,4230,2890,1312400,103.50,4.67,Tamil,24.34
MU-CMP-2038,Social Media,Working Women,17,Instagram; WhatsApp,47890,5230,2560,1670,689200,123.40,3.12,Hindi,18.90
MU-CMP-2039,Paid Ads,Tier 2 City Customers,12,Google; Facebook,87650,4560,2340,1560,723400,195.60,1.56,Kannada,8.67
MU-CMP-2040,Email,Youth,26,Email; YouTube; WhatsApp,41230,3890,1890,980,378900,241.20,0.63,Hindi,12.12
MU-CMP-2041,Influencer,Premium Shoppers,20,Instagram; Facebook,76540,8890,5120,3340,1678900,97.40,4.89,English,26.78
MU-CMP-2042,Social Media,College Students,14,YouTube; Instagram,59870,6340,3120,2010,856700,116.70,4.12,Hindi,21.23
MU-CMP-2043,Paid Ads,Working Women,18,Facebook; Instagram; Google,89340,5120,2780,1780,812300,189.30,1.78,Marathi,8.34
MU-CMP-2044,Email,Tier 2 City Customers,24,Email; Facebook,44560,3670,1780,940,378400,237.80,0.70,Hindi,11.45
MU-CMP-2045,Influencer,Youth,27,WhatsApp; YouTube; Instagram,69870,8120,4560,2980,1345600,108.90,4.45,Tamil,25.67
MU-CMP-2046,Social Media,Premium Shoppers,21,Facebook; WhatsApp,63450,6120,3560,2340,1145600,126.40,4.34,English,22.45
MU-CMP-2047,Paid Ads,College Students,15,Google; YouTube,84560,4890,2560,1670,734500,179.60,1.67,Hindi,8.56
MU-CMP-2048,Email,Working Women,20,Email; Instagram; WhatsApp,48230,4120,2120,1120,467800,223.40,0.81,Kannada,12.89
MU-CMP-2049,Influencer,Tier 2 City Customers,23,YouTube; Facebook,58760,7230,4120,2780,1234500,101.20,4.12,Hindi,23.12
MU-CMP-2050,Social Media,Youth,11,Instagram; WhatsApp; YouTube,66430,7890,3670,2340,978400,121.30,3.78,English,20.34
MU-CMP-2051,Paid Ads,Premium Shoppers,26,Google; Facebook; Instagram,97230,5340,3230,2230,1156700,191.20,2.56,Hindi,9.12
MU-CMP-2052,Email,College Students,18,Email; YouTube,42340,3760,1890,1010,403500,221.60,0.79,Tamil,12.78
MU-CMP-2053,Influencer,Working Women,24,Instagram; WhatsApp,57890,7120,4010,2650,1178900,111.40,4.01,Hindi,24.12
MU-CMP-2054,Social Media,Tier 2 City Customers,15,Facebook; YouTube,69870,5890,2780,1890,823400,136.70,2.89,Marathi,17.34
MU-CMP-2055,Paid Ads,Youth,19,YouTube; Google; WhatsApp,83450,4670,2670,1780,867300,174.50,2.01,Hindi,8.23
MU-CMP-2056,Email,Premium Shoppers,23,Email; Facebook,54560,4230,2010,1080,489200,261.30,0.68,English,11.56
MU-CMP-2057,Influencer,College Students,27,WhatsApp; YouTube; Instagram,62340,7450,4340,2980,1356700,100.20,4.78,Tamil,25.34
MU-CMP-2058,Social Media,Working Women,16,Instagram; Facebook,49870,5560,2670,1780,734500,127.80,3.23,Hindi,19.12
MU-CMP-2059,Paid Ads,Tier 2 City Customers,14,Google; Instagram,85670,4890,2450,1670,756700,197.80,1.67,Kannada,8.45
MU-CMP-2060,Email,Youth,25,Email; WhatsApp,43450,4010,1980,1050,412300,238.90,0.68,Hindi,13.23
MU-CMP-2061,Influencer,Premium Shoppers,18,Instagram; YouTube,74560,8670,5010,3230,1589200,99.30,4.67,English,27.12
MU-CMP-2062,Social Media,College Students,22,WhatsApp; Instagram,55670,6120,3230,2120,867400,122.30,3.98,Hindi,21.67
MU-CMP-2063,Paid Ads,Working Women,10,Facebook; Google,90120,4450,2340,1560,634500,212.40,1.12,Marathi,7.56
MU-CMP-2064,Email,Tier 2 City Customers,28,Email; Facebook; WhatsApp,46780,3890,1890,980,389400,243.10,0.62,Hindi,11.34
MU-CMP-2065,Influencer,Youth,22,YouTube; Instagram; Facebook,71230,8010,4450,2890,1289300,109.70,4.23,Tamil,23.78
MU-CMP-2066,Social Media,Premium Shoppers,19,Facebook; Instagram,61230,6340,3670,2450,1178900,124.50,4.45,English,22.67
MU-CMP-2067,Paid Ads,College Students,16,Google; YouTube,88340,5230,2980,2010,878900,181.20,1.98,Hindi,8.89
MU-CMP-2068,Email,Working Women,21,Email; Instagram,40890,4230,2120,1160,478900,219.60,0.86,Kannada,12.45
MU-CMP-2069,Influencer,Tier 2 City Customers,26,WhatsApp; Facebook; YouTube,63450,7560,4230,2780,1212300,103.40,4.23,Hindi,24.89
MU-CMP-2070,Social Media,Youth,13,Instagram; YouTube,78900,8450,3890,2560,1067800,129.80,3.67,English,20.12
MU-CMP-2071,Paid Ads,Premium Shoppers,24,Google; Facebook,95670,5560,3450,2340,1267800,185.60,2.67,Hindi,9.34
MU-CMP-2072,Email,College Students,17,Email; WhatsApp; YouTube,44780,3670,1810,970,389500,226.70,0.72,Tamil,12.23
MU-CMP-2073,Influencer,Working Women,23,Instagram; WhatsApp,56780,7010,3980,2630,1167800,113.20,3.89,Hindi,23.56
MU-CMP-2074,Social Media,Tier 2 City Customers,18,Facebook; YouTube,70890,5780,2890,1980,845600,133.40,2.98,Marathi,17.56
MU-CMP-2075,Paid Ads,Youth,15,YouTube; Google,82340,4780,2760,1890,889400,171.30,2.12,Hindi,8.34
MU-CMP-2076,Email,Premium Shoppers,20,Email; Facebook,53450,4450,2120,1120,501200,257.80,0.74,English,11.89
MU-CMP-2077,Influencer,College Students,28,WhatsApp; YouTube,60120,7340,4230,2900,1323400,101.60,4.56,Tamil,24.67
MU-CMP-2078,Social Media,Working Women,14,Instagram; Facebook; WhatsApp,51230,5670,2780,1810,756700,125.60,3.34,Hindi,18.67
MU-CMP-2079,Paid Ads,Tier 2 City Customers,17,Google; WhatsApp,86780,4980,2560,1720,778900,193.70,1.72,Kannada,8.56
MU-CMP-2080,Email,Youth,24,Email; YouTube,42560,3920,1960,1040,407800,236.50,0.66,Hindi,13.12
MU-CMP-2081,Influencer,Premium Shoppers,21,Instagram; Facebook; YouTube,75670,8780,5120,3300,1612300,96.80,4.89,English,26.89
MU-CMP-2082,Social Media,College Students,16,WhatsApp; Instagram,54560,6230,3180,2090,856700,120.90,4.01,Hindi,21.45
MU-CMP-2083,Paid Ads,Working Women,13,Facebook; Instagram,92340,4340,2260,1510,612300,215.80,1.08,Marathi,7.45
MU-CMP-2084,Email,Tier 2 City Customers,26,Email; WhatsApp,47890,3800,1820,960,378900,241.30,0.60,Hindi,11.56
MU-CMP-2085,Influencer,Youth,20,YouTube; Instagram,70120,7920,4380,2840,1256700,111.20,4.12,Tamil,23.23
MU-CMP-2086,Social Media,Premium Shoppers,23,Facebook; WhatsApp,62340,6230,3580,2380,1167800,127.30,4.34,English,22.12
MU-CMP-2087,Paid Ads,College Students,18,Google; YouTube; Instagram,87560,5350,3010,2030,889400,178.40,2.01,Hindi,8.67
MU-CMP-2088,Email,Working Women,19,Email; Instagram; WhatsApp,41230,4180,2090,1140,467800,221.70,0.84,Kannada,12.56
MU-CMP-2089,Influencer,Tier 2 City Customers,25,WhatsApp; Facebook,64560,7450,4190,2750,1201200,102.30,4.34,Hindi,24.34
MU-CMP-2090,Social Media,Youth,17,Instagram; YouTube,77650,8340,3800,2490,1045600,131.20,3.56,English,19.67
MU-CMP-2091,Paid Ads,Premium Shoppers,22,Google; Facebook,94560,5670,3510,2300,1245600,184.50,2.56,Hindi,9.23
MU-CMP-2092,Email,College Students,20,Email; YouTube,43560,3690,1830,960,384500,224.80,0.68,Tamil,12.34
MU-CMP-2093,Influencer,Working Women,22,Instagram; WhatsApp; YouTube,55670,6890,3940,2600,1156700,112.60,3.78,Hindi,23.89
MU-CMP-2094,Social Media,Tier 2 City Customers,14,Facebook; Instagram,69780,5800,2830,1920,834500,135.60,2.89,Marathi,17.12
MU-CMP-2095,Paid Ads,Youth,16,YouTube; Google; WhatsApp,84560,4830,2720,1840,878900,172.90,2.08,Hindi,8.45
MU-CMP-2096,Email,Premium Shoppers,24,Email; Facebook,52340,4390,2090,1100,489200,260.40,0.70,English,11.67
MU-CMP-2097,Influencer,College Students,26,WhatsApp; YouTube; Instagram,61230,7280,4200,2860,1301200,102.80,4.67,Tamil,25.12
MU-CMP-2098,Social Media,Working Women,18,Instagram; Facebook,50120,5450,2710,1750,723400,126.70,3.12,Hindi,18.45
MU-CMP-2099,Paid Ads,Tier 2 City Customers,15,Google; Facebook,86780,4920,2490,1690,767800,194.50,1.62,Kannada,8.78
MU-CMP-2100,Email,Youth,22,Email; WhatsApp; YouTube,42780,3970,1940,1020,401200,239.70,0.65,Hindi,13.34
MU-CMP-2101,Influencer,Premium Shoppers,19,Instagram; Facebook,73450,8560,4980,3180,1567800,98.60,4.78,English,26.34
MU-CMP-2102,Social Media,College Students,21,WhatsApp; YouTube,56780,6090,3160,2060,845600,121.70,3.89,Hindi,20.89
MU-CMP-2103,Paid Ads,Working Women,12,Facebook; Google; Instagram,91230,4480,2310,1530,623400,213.60,1.05,Marathi,7.23
MU-CMP-2104,Email,Tier 2 City Customers,27,Email; Facebook; WhatsApp,46560,3850,1870,970,383400,242.20,0.61,Hindi,11.23
MU-CMP-2105,Influencer,Youth,23,YouTube; Instagram,71340,7980,4410,2860,1278900,110.30,4.23,Tamil,23.45
MU-CMP-2106,Social Media,Premium Shoppers,20,Facebook; Instagram; WhatsApp,60120,6180,3620,2400,1156700,125.80,4.34,English,22.34
MU-CMP-2107,Paid Ads,College Students,17,Google; YouTube,85670,5180,2940,1970,867800,180.30,1.95,Hindi,8.78
MU-CMP-2108,Email,Working Women,22,Email; Instagram,40560,4150,2070,1130,461200,220.80,0.82,Kannada,12.67
MU-CMP-2109,Influencer,Tier 2 City Customers,24,WhatsApp; YouTube; Facebook,65670,7490,4160,2720,1189300,104.50,4.23,Hindi,24.45
MU-CMP-2110,Social Media,Youth,15,Instagram; WhatsApp,76540,8280,3760,2470,1034500,130.60,3.56,English,19.45
MU-CMP-2111,Paid Ads,Premium Shoppers,25,Google; Facebook,96780,5720,3490,2320,1256700,183.70,2.62,Hindi,9.45
MU-CMP-2112,Email,College Students,18,Email; WhatsApp,44560,3720,1850,980,391200,223.60,0.70,Tamil,12.45
MU-CMP-2113,Influencer,Working Women,21,Instagram; WhatsApp,57890,6960,3920,2580,1145600,114.30,3.89,Hindi,23.34
MU-CMP-2114,Social Media,Tier 2 City Customers,16,Facebook; YouTube,71230,5850,2860,1950,856700,134.20,2.95,Marathi,17.23
MU-CMP-2115,Paid Ads,Youth,14,YouTube; Google,83450,4800,2700,1820,878300,173.60,2.05,Hindi,8.56
MU-CMP-2116,Email,Premium Shoppers,21,Email; Facebook; Instagram,53670,4420,2110,1110,495600,259.10,0.71,English,11.78
MU-CMP-2117,Influencer,College Students,29,WhatsApp; YouTube,62340,7310,4250,2920,1334500,100.90,4.78,Tamil,25.23
MU-CMP-2118,Social Media,Working Women,15,Instagram; Facebook,48760,5510,2730,1760,712300,128.40,3.18,Hindi,18.56
MU-CMP-2119,Paid Ads,Tier 2 City Customers,18,Google; WhatsApp; Facebook,87890,4960,2530,1710,789200,192.80,1.70,Kannada,8.89
